 Bob Hell |  Strong Boi | 123456-1234 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 01233210 | word_of_passage | G05 | 0 | 0 | 0.0
 Rob Heaven |  Strong Dog Man | 123456-1234 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 01233210 | word_of_passage | G06 | 0 | 0 | 0.0
 Bob Hell |  Strongest Boi | 123456-1234 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 01233210 | word_of_passage | G05 | 0 | 0 | 0.0
 Rob Heaven |  Strongest Dog Man | 123456-1234 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 01233210 | word_of_passage | G06 | 0 | 0 | 0.0
 Peter |  Anderson | 123456-1234 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 12345666 | 1234 | G02 | 0 | 0 | 0.0
Penis Buttler |  Fuckerson | 666666-6666 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 12341234 | 1234 | G03 | 0 | 0 | 0.0
 Fuck |  Fuck | 123456-1234 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 12345678 | 1234 | G04 | 0 | 0 | 0.0
 Fuckfuck |  Fuckfuck | 123456-1234 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 12345678 | 1234 | G05 | 0 | 0 | 0.0
 Fuckfuckfuck |  Fuckfuckfuck | 123456-1234 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 12345678 | 1234 | G06 | 0 | 0 | 0.0
 Fuckfuckfuckfuck |  Fuckfuckfuckfuck | 123456-1234 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 12345678 | 1234 | G07 | 0 | 0 | 0.0
 Fuckfuckfuckfuckfuck |  Fuckfuckfuckfuckfuck | 123456-1234 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 12345678 | 1234 | G08 | 0 | 0 | 0.0
 Fuckfuckfuckfuckfuckfuck |  Fuckfuckfuckfuckfuckfuck | 123456-1234 | null |  Fuckfuckfuckfuckfuckfuck 5 |  Fuckfuckfuckfuckfuckfuck |  12345 | 12345678 | 1234 | G09 | 0 | 0 | 0.0
